Player,Birthdate
Sequera M.,1980-09-16
Ivanova E.,1987-03-07
Ferguson S.,1986-03-10
Sugiyama A.,1975-07-05
Williams V.,1980-06-17
Williams S.,1981-09-26
Sharapova M.,1987-04-19
Azarenka V.,1989-07-31
Barty A.,1996-04-24
Gauff C.,2004-03-13
